date,store_id,region,product,category,units_sold,unit_price,revenue,promotion_flag
2023-07-10,EA-S04,East,Lambda Accessory,Accessories,5,15.7,78.5,0
2023-07-02,EA-S04,East,Zeta Device,Devices,1,123.6,123.6,0
2022-06-14,NO-S01,North,Nu Component,Components,4,27.22,108.88,0
2021-11-26,NO-S05,North,Pi Part,Parts,4,15.91,63.64,0
2023-07-16,CE-S05,Central,Tau Kit,Kits,2,232.14,464.28,0
2023-10-20,SO-S05,South,Xi Module,Modules,3,182.77,548.31,0
2022-02-22,CE-S06,Central,Lambda Accessory,Accessories,1,13.64,13.64,0
2023-08-09,WE-S02,West,Pi Part,Parts,1,8.15,8.15,0
2023-03-07,WE-S03,West,Alpha Widget,Widgets,3,46.34,139.02,0
2023-06-10,NO-S06,North,Sigma Kit,Kits,3,269.82,809.46,0
2023-01-30,CE-S05,Central,Kappa Accessory,Accessories,1,17.68,17.68,0
2023-03-02,EA-S01,East,Gamma Widget,Widgets,7,55.3,387.1,0
2021-11-16,NO-S05,North,Gamma Widget,Widgets,1,70.67,70.67,0
2021-08-09,CE-S04,Central,Theta Tool,Tools,3,34.73,104.19,0
2022-12-06,SO-S06,South,Lambda Accessory,Accessories,4,21.07,84.28,0
2023-08-13,NO-S06,North,Lambda Accessory,Accessories,1,15.41,15.41,0
2021-09-20,WE-S05,West,Beta Widget,Widgets,3,46.82,140.46,1
2021-12-06,CE-S05,Central,Iota Tool,Tools,2,54.23,108.46,0
2023-03-14,CE-S04,Central,Upsilon Bundle,Bundles,3,409.19,1227.57,0
2021-10-31,CE-S02,Central,Epsilon Gadget,Gadgets,1,84.14,,0
2021-09-27,WE-S03,West,Kappa Accessory,Accessories,3,14.52,43.56,1
2022-09-30,SO-S06,South,Kappa Accessory,Accessories,2,15.29,30.58,0
2021-02-03,NO-S02,North,Gamma Widget,Widgets,3,34.72,104.16,0
2022-09-23,SO-S03,South,Alpha Widget,Widgets,2,41.91,83.82,0
2021-06-08,NO-S02,North,Omicron Module,Modules,1,247.24,247.24,0
2023-07-23,NO-S05,North,Kappa Accessory,Accessories,2,18.95,37.9,0
2023-10-25,SO-S05,South,Rho Part,Parts,3,12.9,38.7,0
2021-06-20,NO-S05,North,Nu Component,Components,1,32.54,32.54,0
2023-04-18,EA-S01,East,Alpha Widget,Widgets,2,43.59,87.18,0
2023-07-30,NO-S03,North,Pi Part,Parts,1,13.12,13.12,0
2021-04-07,SO-S06,South,Mu Component,Components,3,25.47,76.41,0
2023-01-25,CE-S05,Central,Upsilon Bundle,Bundles,3,396.33,1188.99,1
2021-02-20,SO-S03,South,Zeta Device,Devices,4,107.91,431.64,0
2022-01-20,SO-S04,South,Mu Component,Components,2,27.23,54.46,0
2022-01-01,NO-S02,North,Alpha Widget,Widgets,7,48.7,340.9,0
2021-07-27,CE-S04,Central,Mu Component,Components,3,27.37,82.11,0
2021-04-30,SO-S01,South,Upsilon Bundle,Bundles,4,523.25,2093.0,0
2021-06-26,WE-S05,West,Rho Part,Parts,3,12.58,37.74,0
2021-04-22,SO-S06,South,Omicron Module,Modules,2,204.08,408.16,0
2022-01-19,NO-S03,North,Kappa Accessory,Accessories,9,15.44,138.96,0
2021-09-19,CE-S05,Central,Lambda Accessory,Accessories,1,15.82,15.82,0
2022-12-03,CE-S06,Central,Kappa Accessory,Accessories,3,19.35,58.05,0
2021-07-29,NO-S06,North,Eta Device,Devices,4,122.12,488.48,0
2022-03-15,WE-S02,West,Iota Tool,Tools,1,38.98,38.98,0
2022-08-17,NO-S05,North,Sigma Kit,Kits,3,248.69,746.07,0
2022-05-25,EA-S04,East,Pi Part,Parts,4,12.54,50.16,0
2021-07-15,NO-S03,North,Eta Device,Devices,7,120.23,841.61,0
2023-03-31,NO-S04,North,Iota Tool,Tools,2,36.2,72.4,0
2023-06-11,EA-S05,East,Upsilon Bundle,Bundles,2,394.9,789.8,0
2023-03-29,SO-S06,South,Tau Kit,Kits,3,262.4,787.2,0
2023-11-08,SO-S06,South,Lambda Accessory,Accessories,4,22.24,88.96,0
2023-06-29,SO-S01,South,Iota Tool,Tools,2,46.28,92.56,1
2021-10-09,CE-S06,Central,Pi Part,Parts,4,11.64,46.56,0
2023-12-04,SO-S04,South,Upsilon Bundle,Bundles,8,595.02,4760.16,0
2023-02-14,SO-S02,South,Eta Device,Devices,3,91.79,275.37,0
2022-06-18,CE-S01,Central,Rho Part,Parts,5,11.66,58.3,1
2021-09-11,CE-S02,Central,Iota Tool,Tools,2,42.77,85.54,0
2023-04-23,CE-S03,Central,Mu Component,Components,4,27.67,110.68,0
2023-07-10,EA-S01,East,Gamma Widget,Widgets,2,47.11,94.22,0
2021-12-17,WE-S06,West,Upsilon Bundle,Bundles,5,543.38,2716.9,0
2023-04-28,SO-S02,South,Delta Gadget,Gadgets,4,75.56,302.24,0
2023-03-08,EA-S01,East,Kappa Accessory,Accessories,5,17.16,85.8,0
2023-02-12,CE-S04,Central,Omicron Module,Modules,6,180.32,1081.92,0
2023-06-18,EA-S01,East,Eta Device,Devices,1,115.27,115.27,0
2022-01-22,WE-S03,West,Theta Tool,Tools,1,40.62,40.62,0
2021-11-16,CE-S01,Central,Tau Kit,Kits,3,360.77,1082.31,0
2022-01-15,NO-S04,North,Beta Widget,Widgets,1,54.14,54.14,0
2023-11-13,CE-S03,Central,Iota Tool,Tools,4,60.21,240.84,0
2021-03-20,EA-S05,East,Beta Widget,Widgets,1,43.96,43.96,0
2023-11-07,CE-S04,Central,Lambda Accessory,Accessories,3,21.54,64.62,0
2023-05-11,CE-S02,Central,Omicron Module,Modules,3,193.98,581.94,0
2022-01-12,CE-S06,Central,Epsilon Gadget,Gadgets,2,69.14,138.28,0
2021-07-13,NO-S04,North,Lambda Accessory,Accessories,4,17.65,70.6,0
2021-12-27,EA-S03,East,Eta Device,Devices,1,160.97,160.97,0
2023-12-30,NO-S04,North,Omicron Module,Modules,1,270.21,270.21,0
2023-06-20,EA-S02,East,Lambda Accessory,Accessories,5,16.48,82.4,0
2022-06-30,EA-S03,East,Rho Part,Parts,1,12.76,12.76,0
2021-01-26,EA-S05,East,Pi Part,Parts,3,12.01,36.03,0
2023-04-12,EA-S04,East,Tau Kit,Kits,5,230.35,1151.75,0
2023-03-05,EA-S06,East,Sigma Kit,Kits,4,258.44,1033.76,0
2021-12-17,NO-S04,North,Gamma Widget,Widgets,4,74.66,298.64,0
2023-01-04,CE-S06,Central,Sigma Kit,Kits,2,296.61,593.22,0
2022-10-22,CE-S05,Central,Zeta Device,Devices,3,117.34,352.02,0
2021-10-08,EA-S06,East,Lambda Accessory,Accessories,6,16.97,101.82,0
2021-03-15,WE-S01,West,Pi Part,Parts,3,9.22,27.66,0
2021-04-22,WE-S05,West,Delta Gadget,Gadgets,3,96.54,289.62,0
2021-03-09,CE-S01,Central,Alpha Widget,Widgets,5,44.44,222.2,0
2021-07-29,CE-S05,Central,Alpha Widget,Widgets,3,58.77,176.31,0
2022-09-30,NO-S01,North,Eta Device,Devices,4,160.34,641.36,0
2022-06-18,NO-S03,North,Pi Part,Parts,5,13.74,68.7,0
2022-07-16,CE-S06,Central,Iota Tool,Tools,4,45.13,180.52,0
2023-02-07,SO-S06,South,Xi Module,Modules,3,190.57,571.71,0
2023-07-08,CE-S01,Central,Iota Tool,Tools,2,44.07,88.14,0
2021-05-23,WE-S04,West,Upsilon Bundle,Bundles,1,420.08,420.08,0
2023-02-09,NO-S03,North,Pi Part,Parts,4,8.14,32.56,0
2021-05-01,SO-S01,South,Beta Widget,Widgets,5,54.73,273.65,0
2023-10-12,CE-S06,Central,Kappa Accessory,Accessories,1,16.49,16.49,0
2021-05-02,CE-S05,Central,Alpha Widget,Widgets,4,54.21,216.84,0
2022-06-13,SO-S05,South,Alpha Widget,Widgets,2,42.39,84.78,0
2022-06-26,WE-S05,West,Nu Component,Components,3,31.32,93.96,0
2021-05-22,EA-S02,East,Alpha Widget,Widgets,5,45.12,225.6,0
2021-03-12,CE-S05,Central,Omicron Module,Modules,4,259.87,1039.48,0
2022-09-06,WE-S05,West,Nu Component,Components,6,17.74,106.44,1
2021-11-10,CE-S06,Central,Alpha Widget,Widgets,1,72.24,72.24,1
2021-09-16,SO-S05,South,Kappa Accessory,Accessories,3,19.21,57.63,0
2023-11-15,SO-S05,South,Kappa Accessory,Accessories,3,19.58,58.74,0
2023-03-19,SO-S02,South,Mu Component,Components,3,19.49,58.47,0
2022-10-29,WE-S02,West,Theta Tool,Tools,3,37.76,113.28,0
2023-08-14,EA-S06,East,Iota Tool,Tools,2,40.01,80.02,0
2021-09-23,CE-S03,Central,Theta Tool,Tools,1,35.8,35.8,1
2023-01-24,NO-S06,North,Nu Component,Components,6,25.26,151.56,0
2023-09-10,WE-S03,West,Theta Tool,Tools,3,39.79,119.37,0
2022-12-02,NO-S05,North,Epsilon Gadget,Gadgets,4,119.81,479.24,0
2022-09-16,CE-S05,Central,Theta Tool,Tools,2,42.5,85.0,0
2023-10-21,CE-S02,Central,Pi Part,Parts,3,10.52,31.56,0
2021-03-08,SO-S03,South,Nu Component,Components,1,23.94,23.94,0
2021-08-06,WE-S01,West,Zeta Device,Devices,4,108.39,433.56,0
2021-10-16,WE-S02,West,Zeta Device,Devices,3,130.07,390.21,0
2021-01-11,EA-S01,East,Pi Part,Parts,4,12.53,50.12,0
2021-12-26,EA-S05,East,Xi Module,Modules,1,286.42,286.42,0
2022-07-03,SO-S06,South,Upsilon Bundle,Bundles,2,441.39,882.78,0
2023-03-26,EA-S01,East,Tau Kit,Kits,3,187.26,561.78,0
2022-01-01,SO-S02,South,Epsilon Gadget,Gadgets,2,99.09,198.18,0
2022-07-14,EA-S03,East,Mu Component,Components,-2,26.37,-52.74,0
2021-06-06,NO-S05,North,Delta Gadget,Gadgets,2,71.42,142.84,0
2023-04-25,WE-S01,West,Omicron Module,Modules,2,192.14,384.28,0
2023-05-03,WE-S04,West,Sigma Kit,Kits,6,253.03,1518.18,0
2021-10-25,NO-S02,North,Theta Tool,Tools,8,38.4,307.2,0
2021-09-24,NO-S05,North,Iota Tool,Tools,4,42.49,169.96,0
2021-06-10,CE-S01,Central,Kappa Accessory,Accessories,2,16.51,33.02,0
2021-12-12,EA-S04,East,Iota Tool,Tools,4,53.65,214.6,0
2023-03-23,SO-S06,South,Xi Module,Modules,4,193.54,774.16,0
2023-03-20,NO-S06,North,Zeta Device,Devices,1,103.21,103.21,0
2023-06-22,CE-S02,Central,Epsilon Gadget,Gadgets,4,83.62,334.48,0
2022-03-18,CE-S02,Central,Xi Module,Modules,3,189.16,567.48,0
2022-01-25,CE-S05,Central,Mu Component,Components,3,26.32,78.96,0
2022-04-19,NO-S04,North,Rho Part,Parts,3,12.63,37.89,0
2021-05-20,CE-S04,Central,Eta Device,Devices,2,106.1,212.2,0
2023-05-14,CE-S01,Central,Beta Widget,Widgets,1,53.56,53.56,0
2023-05-01,EA-S03,East,Beta Widget,Widgets,5,46.02,230.1,0
2021-06-06,CE-S01,Central,Kappa Accessory,Accessories,3,17.02,51.06,0
2023-02-26,SO-S04,South,Tau Kit,Kits,1,258.89,258.89,0
2022-08-11,WE-S05,West,Lambda Accessory,Accessories,3,13.22,39.66,0
2023-11-27,CE-S06,Central,Omicron Module,Modules,3,287.85,863.55,0
2023-05-18,SO-S03,South,Iota Tool,Tools,1,37.44,37.44,1
2021-03-19,WE-S03,West,Upsilon Bundle,Bundles,2,367.16,734.32,0
2021-05-31,WE-S04,West,Kappa Accessory,Accessories,3,12.14,36.42,1
2021-02-23,EA-S02,East,Delta Gadget,Gadgets,1,51.8,51.8,0
2023-08-27,EA-S02,East,Tau Kit,Kits,4,263.64,,0
2023-03-20,NO-S03,North,Beta Widget,Widgets,3,53.91,161.73,0
2023-06-27,WE-S01,West,Gamma Widget,Widgets,2,60.85,121.7,0
2021-08-09,SO-S03,South,Zeta Device,Devices,2,134.43,268.86,0
2022-08-21,WE-S03,West,Delta Gadget,Gadgets,1,73.82,73.82,0
2023-08-29,WE-S05,West,Mu Component,Components,3,22.87,68.61,0
2021-09-01,NO-S06,North,Delta Gadget,Gadgets,1,70.68,70.68,0
2021-05-16,CE-S03,Central,Beta Widget,Widgets,2,53.91,107.82,0
2021-06-13,SO-S02,South,Gamma Widget,Widgets,4,52.28,209.12,0
2023-11-03,CE-S03,Central,Theta Tool,Tools,4,50.24,200.96,0
2022-11-02,CE-S03,Central,Lambda Accessory,Accessories,1,21.63,21.63,0
2021-05-01,NO-S02,North,Epsilon Gadget,Gadgets,3,83.07,249.21,0
2022-08-18,NO-S02,North,Epsilon Gadget,Gadgets,4,63.0,252.0,0
2022-11-14,NO-S04,North,Lambda Accessory,Accessories,2,20.11,40.22,0
2023-03-11,NO-S06,North,Iota Tool,Tools,4,33.88,135.52,0
2021-09-27,NO-S04,North,Rho Part,Parts,5,11.55,57.75,0
2022-11-17,CE-S01,Central,Mu Component,Components,3,27.91,83.73,0
2023-05-15,WE-S05,West,Iota Tool,Tools,5,37.43,187.15,1
2021-04-30,EA-S01,East,Gamma Widget,Widgets,2,40.5,81.0,0
2021-08-14,NO-S01,North,Xi Module,Modules,1,188.89,188.89,0
2022-02-10,NO-S05,North,Delta Gadget,Gadgets,4,75.25,301.0,0
2021-01-05,SO-S04,South,Delta Gadget,Gadgets,1,75.78,75.78,0
2023-12-26,EA-S04,East,Pi Part,Parts,3,16.92,50.76,0
2022-06-24,NO-S04,North,Iota Tool,Tools,3,29.48,88.44,0
2022-09-21,NO-S04,North,Gamma Widget,Widgets,3,55.41,166.23,1
2023-03-17,WE-S02,West,Delta Gadget,Gadgets,1,84.65,84.65,0
2021-05-12,NO-S03,North,Eta Device,Devices,1,117.7,117.7,0
2022-07-17,NO-S02,North,Kappa Accessory,Accessories,3,17.09,51.27,0
2023-04-08,CE-S02,Central,Nu Component,Components,4,21.62,86.48,0
2023-09-27,CE-S03,Central,Mu Component,Components,3,24.49,73.47,0
2023-03-03,EA-S04,East,Alpha Widget,Widgets,4,43.63,174.52,0
2023-11-25,SO-S02,South,Xi Module,Modules,6,266.38,1598.28,0
2021-05-22,CE-S02,Central,Gamma Widget,Widgets,3,49.89,149.67,0
2021-07-24,WE-S04,West,Kappa Accessory,Accessories,1,17.32,17.32,0
2021-08-14,EA-S04,East,Rho Part,Parts,1,13.85,13.85,0
2022-12-11,NO-S01,North,Theta Tool,Tools,3,49.27,147.81,0
2021-09-06,SO-S05,South,Beta Widget,Widgets,3,46.5,139.5,0
2021-05-06,NO-S01,North,Xi Module,Modules,6,191.3,1147.8,0
2022-10-09,SO-S06,South,Eta Device,Devices,1,154.57,154.57,0
2021-02-12,SO-S02,South,Gamma Widget,Widgets,6,37.23,223.38,1
2021-11-19,NO-S05,North,Beta Widget,Widgets,3,79.03,237.09,0
2021-03-05,NO-S05,North,Nu Component,Components,5,27.84,139.2,0
2022-05-07,EA-S04,East,Upsilon Bundle,Bundles,1,443.61,443.61,0
2021-09-13,WE-S01,West,Kappa Accessory,Accessories,2,14.71,29.42,0
2023-05-06,CE-S05,Central,Theta Tool,Tools,3,43.55,130.65,0
2023-12-07,EA-S02,East,Epsilon Gadget,Gadgets,1,119.74,119.74,0
2023-10-11,EA-S03,East,Sigma Kit,Kits,4,212.64,850.56,0
2022-08-20,NO-S03,North,Alpha Widget,Widgets,-2,44.56,-89.12,1
2022-09-14,EA-S05,East,Rho Part,Parts,1,11.38,11.38,0
2023-11-14,EA-S01,East,Pi Part,Parts,4,16.36,65.44,0
2022-02-10,WE-S04,West,Zeta Device,Devices,6,76.09,456.54,0
2021-07-29,SO-S05,South,Omicron Module,Modules,3,187.4,562.2,0
2023-05-18,CE-S01,Central,Tau Kit,Kits,1,257.26,257.26,0
2021-05-31,WE-S02,West,Theta Tool,Tools,4,34.57,138.28,0
2023-07-17,CE-S05,Central,Xi Module,Modules,5,239.17,1195.85,0
2022-03-30,NO-S03,North,Lambda Accessory,Accessories,6,13.37,80.22,0
2023-12-03,EA-S05,East,Lambda Accessory,Accessories,1,21.33,21.33,0
2021-09-23,CE-S04,Central,Xi Module,Modules,3,225.78,677.34,0
2023-11-24,WE-S04,West,Sigma Kit,Kits,4,419.0,1676.0,0
2022-03-27,CE-S01,Central,Sigma Kit,Kits,5,240.47,1202.35,0
2023-10-14,EA-S02,East,Sigma Kit,Kits,7,231.58,1621.06,0
2021-09-02,WE-S04,West,Alpha Widget,Widgets,4,48.37,193.48,0
2023-10-06,NO-S05,North,Pi Part,Parts,6,12.13,72.78,0
2023-04-16,NO-S02,North,Mu Component,Components,6,24.1,144.6,0
2022-09-16,EA-S02,East,Mu Component,Components,2,23.16,46.32,1
2021-06-24,WE-S01,West,Upsilon Bundle,Bundles,8,391.37,3130.96,1
2022-01-08,WE-S01,West,Nu Component,Components,3,24.61,73.83,0
2021-06-27,EA-S06,East,Sigma Kit,Kits,2,303.16,606.32,0
2022-01-13,NO-S01,North,Nu Component,Components,2,28.19,56.38,0
2022-01-05,WE-S02,West,Theta Tool,Tools,1,35.57,35.57,0
2021-06-25,CE-S03,Central,Tau Kit,Kits,1,252.25,252.25,0
2023-11-24,WE-S02,West,Zeta Device,Devices,3,169.63,508.89,0
2022-04-25,WE-S03,West,Alpha Widget,Widgets,3,51.78,155.34,0
2022-06-09,SO-S03,South,Omicron Module,Modules,1,169.35,169.35,0
2023-09-26,CE-S01,Central,Gamma Widget,Widgets,6,47.48,284.88,0
2022-05-18,CE-S03,Central,Kappa Accessory,Accessories,2,10.68,21.36,0
2022-10-23,SO-S05,South,Sigma Kit,Kits,1,314.72,314.72,0
2022-11-21,NO-S05,North,Nu Component,Components,4,38.85,155.4,0
2023-08-16,WE-S05,West,Pi Part,Parts,4,13.15,52.6,0
2022-11-16,SO-S01,South,Gamma Widget,Widgets,3,71.18,213.54,0
2023-06-26,NO-S02,North,Epsilon Gadget,Gadgets,3,67.75,203.25,0
2022-03-13,EA-S06,East,Eta Device,Devices,3,88.57,265.71,0
2022-04-26,SO-S02,South,Iota Tool,Tools,4,49.21,196.84,1
2021-05-06,WE-S06,West,Kappa Accessory,Accessories,2,15.81,31.62,0
2023-05-31,WE-S03,West,Delta Gadget,Gadgets,2,89.11,178.22,0
2023-01-07,WE-S04,West,Beta Widget,Widgets,2,38.13,76.26,0
2023-02-01,SO-S06,South,Gamma Widget,Widgets,3,40.01,120.03,0
2023-11-22,EA-S06,East,Iota Tool,Tools,3,57.89,173.67,1
2022-12-14,WE-S04,West,Xi Module,Modules,1,278.71,278.71,0
2023-02-13,CE-S02,Central,Theta Tool,Tools,3,42.07,126.21,0
2023-08-27,EA-S01,East,Eta Device,Devices,5,120.76,603.8,0
2022-01-24,CE-S01,Central,Gamma Widget,Widgets,2,56.02,112.04,0
2021-02-09,NO-S03,North,Rho Part,Parts,4,9.25,37.0,0
2023-07-06,CE-S06,Central,Upsilon Bundle,Bundles,1,492.03,492.03,0
2022-06-18,NO-S02,North,Beta Widget,Widgets,3,49.71,149.13,0
2023-08-15,CE-S05,Central,Sigma Kit,Kits,2,221.45,442.9,0
2021-01-28,WE-S06,West,Iota Tool,Tools,1,44.91,44.91,0
2022-01-17,SO-S06,South,Theta Tool,Tools,2,44.85,89.7,0
2021-03-06,NO-S04,North,Rho Part,Parts,1,12.63,12.63,0
2022-05-11,WE-S01,West,Eta Device,Devices,3,113.51,340.53,0
2023-05-24,SO-S03,South,Alpha Widget,Widgets,2,55.44,110.88,0
2022-10-15,WE-S03,West,Upsilon Bundle,Bundles,5,510.66,2553.3,0
2021-10-06,WE-S02,West,Nu Component,Components,1,28.66,28.66,0
2021-07-01,CE-S04,Central,Iota Tool,Tools,3,42.39,127.17,0
2021-01-03,WE-S02,West,Eta Device,Devices,2,121.47,242.94,0
2022-07-24,NO-S01,North,Tau Kit,Kits,2,287.1,574.2,0
2023-09-28,NO-S03,North,Nu Component,Components,2,27.32,54.64,0
2023-06-25,SO-S01,South,Gamma Widget,Widgets,1,52.17,52.17,0
2021-09-16,EA-S01,East,Eta Device,Devices,4,133.56,534.24,0
2021-10-05,EA-S01,East,Zeta Device,Devices,5,141.2,706.0,0
2022-07-07,EA-S01,East,Xi Module,Modules,1,227.77,,0
2021-01-15,EA-S05,East,Upsilon Bundle,Bundles,1,362.85,362.85,0
2023-11-08,SO-S01,South,Kappa Accessory,Accessories,9,23.79,214.11,0
2022-04-15,NO-S02,North,Delta Gadget,Gadgets,6,79.86,479.16,0
2022-06-07,CE-S05,Central,Tau Kit,Kits,2,270.6,541.2,0
2021-04-18,CE-S04,Central,Theta Tool,Tools,3,50.21,150.63,0
2022-05-05,SO-S04,South,Kappa Accessory,Accessories,8,12.99,103.92,0
2023-09-08,SO-S01,South,Lambda Accessory,Accessories,2,17.73,35.46,0
2021-09-15,NO-S01,North,Eta Device,Devices,2,122.19,244.38,0
2023-02-09,CE-S05,Central,Theta Tool,Tools,3,27.45,82.35,0
2023-09-24,SO-S01,South,Upsilon Bundle,Bundles,4,257.69,1030.76,0
2021-04-19,NO-S06,North,Alpha Widget,Widgets,2,42.77,85.54,0
2021-03-18,SO-S04,South,Zeta Device,Devices,4,104.72,418.88,1
2022-10-22,CE-S03,Central,Nu Component,Components,1,29.29,29.29,0
2022-06-28,CE-S01,Central,Alpha Widget,Widgets,4,48.26,193.04,0
2023-12-06,CE-S03,Central,Delta Gadget,Gadgets,1,101.81,101.81,0
2022-09-23,SO-S06,South,Mu Component,Components,5,26.32,131.6,0
2021-09-15,WE-S02,West,Xi Module,Modules,6,181.22,1087.32,0
2022-12-14,NO-S04,North,Nu Component,Components,3,35.01,105.03,0
2022-06-20,CE-S03,Central,Alpha Widget,Widgets,5,47.22,236.1,0
2022-10-26,SO-S02,South,Beta Widget,Widgets,2,37.87,75.74,0
2023-06-22,EA-S04,East,Kappa Accessory,Accessories,3,18.31,54.93,0
2022-11-16,WE-S04,West,Gamma Widget,Widgets,4,66.67,266.68,0
2022-04-13,WE-S01,West,Iota Tool,Tools,4,43.61,174.44,0
2022-02-01,CE-S03,Central,Omicron Module,Modules,2,181.86,363.72,0
2023-01-07,SO-S01,South,Iota Tool,Tools,5,40.5,202.5,0
2023-11-17,EA-S06,East,Kappa Accessory,Accessories,3,22.87,68.61,0
2021-10-24,NO-S01,North,Xi Module,Modules,2,183.64,367.28,0
2022-09-17,CE-S05,Central,Iota Tool,Tools,1,41.77,41.77,0
2021-07-12,EA-S04,East,Kappa Accessory,Accessories,2,13.86,27.72,0
2021-07-02,NO-S06,North,Kappa Accessory,Accessories,3,15.97,47.91,1
2023-07-27,EA-S03,East,Lambda Accessory,Accessories,4,18.23,72.92,0
2022-06-08,SO-S02,South,Iota Tool,Tools,2,47.33,94.66,0
2022-07-22,NO-S04,North,Pi Part,Parts,3,11.58,34.74,0
2023-09-06,WE-S06,West,Iota Tool,Tools,5,42.67,213.35,0
2021-08-04,SO-S05,South,Omicron Module,Modules,1,209.05,209.05,0
2022-07-16,EA-S06,East,Upsilon Bundle,Bundles,1,411.47,411.47,0
2021-11-14,EA-S03,East,Mu Component,Components,2,35.23,70.46,0
2022-04-12,NO-S01,North,Pi Part,Parts,4,10.7,42.8,0
2023-08-31,SO-S01,South,Rho Part,Parts,7,11.15,78.05,0
2021-04-23,NO-S03,North,Kappa Accessory,Accessories,5,10.7,53.5,0
2021-05-19,CE-S02,Central,Kappa Accessory,Accessories,3,15.48,46.44,0
2022-10-09,CE-S02,Central,Rho Part,Parts,3,11.91,35.73,0
2022-06-10,EA-S04,East,Alpha Widget,Widgets,5,52.84,264.2,0
2021-05-25,EA-S01,East,Xi Module,Modules,2,199.88,399.76,0
2022-02-04,CE-S05,Central,Mu Component,Components,4,22.48,89.92,0
2022-01-22,NO-S03,North,Rho Part,Parts,2,12.5,25.0,0
2021-08-21,SO-S05,South,Rho Part,Parts,4,11.86,47.44,0
2023-08-17,CE-S01,Central,Epsilon Gadget,Gadgets,3,69.02,207.06,0
2022-10-22,EA-S01,East,Sigma Kit,Kits,6,278.38,1670.28,0
2022-01-10,SO-S05,South,Pi Part,Parts,3,11.14,33.42,0
2023-12-12,CE-S05,Central,Beta Widget,Widgets,2,67.75,135.5,1
2021-06-09,CE-S03,Central,Mu Component,Components,3,32.8,98.4,0
2023-02-20,SO-S02,South,Beta Widget,Widgets,7,51.59,361.13,0
2023-01-19,NO-S06,North,Epsilon Gadget,Gadgets,5,94.3,471.5,0
2023-04-17,EA-S01,East,Theta Tool,Tools,1,36.85,36.85,0
2021-04-08,NO-S01,North,Mu Component,Components,6,23.86,143.16,0
2023-02-17,CE-S04,Central,Iota Tool,Tools,4,36.79,147.16,0
2022-05-23,CE-S01,Central,Upsilon Bundle,Bundles,4,419.38,1677.52,0
2021-11-09,EA-S06,East,Beta Widget,Widgets,4,74.16,296.64,1
2023-02-08,SO-S05,South,Omicron Module,Modules,6,143.9,863.4,0
2023-09-27,CE-S05,Central,Kappa Accessory,Accessories,3,13.35,40.05,0
2023-02-04,WE-S02,West,Mu Component,Components,4,23.04,92.16,0
2023-06-21,WE-S03,West,Nu Component,Components,3,25.79,77.37,0
2022-04-23,EA-S06,East,Epsilon Gadget,Gadgets,2,91.1,182.2,0
2021-03-02,CE-S06,Central,Rho Part,Parts,4,11.15,44.6,0
2022-01-18,WE-S04,West,Beta Widget,Widgets,3,56.39,169.17,0
2022-11-02,SO-S05,South,Alpha Widget,Widgets,4,62.76,251.04,0
2023-06-12,NO-S01,North,Xi Module,Modules,4,202.92,811.68,0
2022-08-27,SO-S05,South,Iota Tool,Tools,2,39.79,79.58,0
2023-11-23,NO-S05,North,Upsilon Bundle,Bundles,4,516.03,2064.12,0
2023-07-22,SO-S04,South,Mu Component,Components,1,19.2,19.2,0
